====================================================================================================
3-CARD PREFLOP SCORES FOR TOSS'EM HOLD'EM (MONTE CARLO)
====================================================================================================

Simulations per hand: 50000

Formula:
  Preflop Score = (3card_equity + 2card_eq_1 + 2card_eq_2 + 2card_eq_3) / 4

Total hand classes: 1911

----------------------------------------------------------------------------------------------------
Rank  Hand   Score   Raw3c   2c_1    2c_2    2c_3    Pattern  Best  
330   TT5    0.5742  0.6546  0.6979  0.4902  0.4544  A_A      TT    
331   AK3    0.5740  0.6161  0.6231  0.5628  0.4941  A_A      AKo   
332   KQJ    0.5735  0.5215  0.5981  0.5874  0.5870  _AA      QJs   
333   AK2    0.5735  0.6251  0.6231  0.5235  0.5221  _AA      AKo   
334   AJ9    0.5734  0.5440  0.6072  0.5794  0.5632  _AA      AJo   
335   AK5    0.5734  0.5760  0.6413  0.5588  0.5175  AA_      AKs   
336   AT9    0.5729  0.5547  0.6053  0.6052  0.5263  A_A      ATo   
337   AK2    0.5728  0.6321  0.6231  0.5535  0.4826  A_A      AKo   
338   998    0.5727  0.6376  0.6673  0.4930  0.4930  ___      99    
339   A54    0.5725  0.6655  0.5863  0.5784  0.4597  AAA      A5s   
340   KJT    0.5724  0.5425  0.6105  0.5803  0.5562  AA_      KJs   
341   KJ6    0.5723  0.6114  0.6105  0.5556  0.5117  AAA      KJs   
342   K98    0.5723  0.6038  0.5867  0.5699  0.5287  AAA      K9s   
343   Q88    0.5721  0.5704  0.6395  0.5528  0.5256  AA_      88    
344   A94    0.5720  0.6427  0.6052  0.5784  0.4618  AAA      A9s   
345   A75    0.5717  0.6389  0.5893  0.5863  0.4725  AAA      A7s   
346   AK6    0.5717  0.5605  0.6413  0.5553  0.5294  AA_      AKs   
347   KJ5    0.5717  0.6170  0.6105  0.5509  0.5081  AAA      KJs   
348   QT8    0.5716  0.6005  0.5919  0.5528  0.5413  AAA      QTs   
349   KQT    0.5716  0.5272  0.6056  0.5874  0.5663  A_A      KTs   
350   Q88    0.5715  0.5681  0.6395  0.5528  0.5256  A_A      88    
351   AJ8    0.5714  0.5519  0.6072  0.5756  0.5509  _AA      AJo   
352   AJ8    0.5713  0.5586  0.6072  0.6023  0.5172  A_A      AJo   
353   TT6    0.5712  0.6435  0.6979  0.4717  0.4717  ___      TT    
354   AK9    0.5711  0.5222  0.6231  0.5794  0.5598  ___      AKo   
355   AQ8    0.5710  0.5462  0.6367  0.5756  0.5256  AA_      AQs   
356   AQ7    0.5709  0.5593  0.6151  0.5664  0.5430  _AA      AQo   
357   AT9    0.5706  0.5447  0.6053  0.5794  0.5531  _AA      ATo   
358   TT3    0.5706  0.6820  0.6979  0.4717  0.4308  A_A      TT    
359   A84    0.5702  0.6453  0.6023  0.5784  0.4547  AAA      A8s   
360   AJ9    0.5701  0.5378  0.6318  0.5794  0.5315  AA_      AJs   
361   J88    0.5701  0.5728  0.6395  0.5509  0.5172  AA_      88    
362   TT3    0.5701  0.6800  0.6979  0.4717  0.4308  _AA      TT    
363   KQ2    0.5700  0.6470  0.6134  0.5221  0.4975  AAA      KQs   
364   J88    0.5698  0.5715  0.6395  0.5509  0.5172  A_A      88    
365   JT8    0.5698  0.6010  0.5858  0.5509  0.5413  AAA      JTs   
366   AQ7    0.5696  0.5665  0.6151  0.5893  0.5076  A_A      AQo   
367   KQJ    0.5696  0.5299  0.5874  0.5870  0.5741  ___      KQo   
368   KJT    0.5695  0.5291  0.6056  0.5870  0.5562  A_A      KTs   
369   AQ5    0.5694  0.5725  0.6151  0.5588  0.5313  _AA      AQo   
370   AQ5    0.5689  0.5769  0.6151  0.5863  0.4973  A_A      AQo   
371   KT6    0.5685  0.6060  0.6056  0.5556  0.5067  AAA      KTs   
372   AK4    0.5680  0.5843  0.6413  0.5437  0.5027  AA_      AKs   
373   AQ6    0.5680  0.5700  0.6151  0.5811  0.5059  A_A      AQo   
374   AK3    0.5680  0.6000  0.6413  0.5367  0.4941  AA_      AKs   
375   TT2    0.5680  0.6906  0.6979  0.4622  0.4212  A_A      TT    
376   K97    0.5679  0.6080  0.5867  0.5667  0.5103  AAA      K9s   
377   TT2    0.5677  0.6896  0.6979  0.4622  0.4212  _AA      TT    
378   KJ4    0.5677  0.6191  0.6105  0.5426  0.4984  AAA      KJs   
379   AT8    0.5676  0.5543  0.6053  0.6023  0.5087  A_A      ATo   
380   AQ4    0.5676  0.5897  0.6151  0.5784  0.4872  A_A      AQo   
381   A93    0.5675  0.6494  0.6052  0.5628  0.4526  AAA      A9s   
382   T88    0.5672  0.5793  0.6395  0.5413  0.5087  AA_      88    
383   AK8    0.5669  0.5312  0.6231  0.5756  0.5376  ___      AKo   
384   996    0.5668  0.6463  0.6673  0.4947  0.4590  A_A      99    
385   T88    0.5668  0.5778  0.6395  0.5413  0.5087  A_A      88    
386   A55    0.5667  0.5997  0.5588  0.5588  0.5492  ___      A5o   
387   996    0.5665  0.6450  0.6673  0.4947  0.4590  _AA      99    
388   AQ6    0.5665  0.5623  0.6151  0.5553  0.5332  _AA      AQo   
389   A65    0.5662  0.6202  0.5863  0.5811  0.4773  AAA      A5s   
390   A74    0.5662  0.6446  0.5893  0.5784  0.4526  AAA      A7s   
391   AT8    0.5662  0.5427  0.6053  0.5756  0.5413  _AA      ATo   
392   KQT    0.5660  0.5045  0.5919  0.5874  0.5803  _AA      QTs   
393   AT9    0.5660  0.5315  0.6265  0.5794  0.5263  AA_      ATs   
394   AQ4    0.5659  0.5836  0.6151  0.5437  0.5212  _AA      AQo   
395   AJ8    0.5657  0.5384  0.6318  0.5756  0.5172  AA_      AJs   
396   AK7    0.5657  0.5383  0.6231  0.5664  0.5351  ___      AKo   
397   A44    0.5657  0.6241  0.5784  0.5437  0.5166  A_A      A4s   
398   887    0.5652  0.6400  0.6395  0.5085  0.4728  _AA      88    
399   KJ3    0.5651  0.6245  0.6105  0.5323  0.4930  AAA      KJs   
400   AQ3    0.5647  0.5943  0.6151  0.5367  0.5126  _AA      AQo   
401   A44    0.5646  0.6198  0.5784  0.5437  0.5166  AA_      A4s   
402   988    0.5645  0.5967  0.6395  0.5287  0.4930  A_A      88    
403   KQT    0.5644  0.5238  0.5874  0.5803  0.5663  ___      KQo   
404   997    0.5644  0.6266  0.6673  0.4819  0.4819  ___      99    
405   988    0.5643  0.5962  0.6395  0.5287  0.4930  AA_      88    
406   AK2    0.5642  0.6095  0.6413  0.5235  0.4826  AA_      AKs   
407   QJT    0.5641  0.5359  0.5981  0.5663  0.5562  AA_      QJs   
408   887    0.5641  0.6357  0.6395  0.5085  0.4728  A_A      88    
409   QJ7    0.5640  0.5840  0.5981  0.5430  0.5309  AAA      QJs   
410   AQ9    0.5640  0.5180  0.6151  0.5794  0.5433  ___      AQo   
411   A77    0.5639  0.5176  0.6050  0.5664  0.5664  ___      77    
412   A92    0.5638  0.6542  0.6052  0.5535  0.4425  AAA      A9s   
413   AQ7    0.5635  0.5434  0.6367  0.5664  0.5076  AA_      AQs   
414   K77    0.5634  0.5468  0.6050  0.5667  0.5351  A_A      77    
415   AK5    0.5633  0.5536  0.6231  0.5588  0.5175  ___      AKo   
416   KQ9    0.5632  0.5353  0.5874  0.5867  0.5433  A_A      KQo   
417   K88    0.5631  0.5377  0.6395  0.5376  0.5376  ___      88    
418   AQ5    0.5630  0.5592  0.6367  0.5588  0.4973  AA_      AQs   
419   A53    0.5630  0.6621  0.5863  0.5628  0.4407  AAA      A5s   
420   KQ9    0.5630  0.5309  0.5874  0.5738  0.5598  _AA      KQo   
421   K77    0.5629  0.5449  0.6050  0.5667  0.5351  AA_      77    
422   Q98    0.5629  0.5962  0.5738  0.5528  0.5287  AAA      Q9s   
423   KT5    0.5625  0.6031  0.6056  0.5509  0.4902  AAA      KTs   
424   AJ7    0.5624  0.5450  0.6072  0.5664  0.5309  _AA      AJo   
425   K87    0.5622  0.6038  0.5699  0.5667  0.5085  AAA      K8s   
426   AT8    0.5620  0.5373  0.6265  0.5756  0.5087  AA_      ATs   
427   AJ7    0.5619  0.5550  0.6072  0.5893  0.4961  A_A      AJo   
428   AK6    0.5616  0.5385  0.6231  0.5553  0.5294  ___      AKo   
429   A64    0.5615  0.6360  0.5811  0.5784  0.4504  AAA      A6s   
430   AQ3    0.5612  0.5960  0.6151  0.5628  0.4711  A_A      AQo   
431   K96    0.5612  0.6078  0.5867  0.5556  0.4947  AAA      K9s   
432   KJ2    0.5612  0.6373  0.6105  0.5221  0.4748  AAA      KJs   
433   AQ6    0.5611  0.5465  0.6367  0.5553  0.5059  AA_      AQs   
434   KT4    0.5611  0.6110  0.6056  0.5426  0.4851  AAA      KTs   
435   QJT    0.5610  0.5217  0.5919  0.5741  0.5562  A_A      QTs   
436   AQ2    0.5610  0.6078  0.6151  0.5235  0.4975  _AA      AQo   
437   KJT    0.5606  0.5189  0.5870  0.5803  0.5562  ___      KJo   
438   AQ4    0.5605  0.5744  0.6367  0.5437  0.4872  AA_      AQs   
439   AQ2    0.5604  0.6135  0.6151  0.5535  0.4596  A_A      AQo   
440   J98    0.5597  0.5961  0.5632  0.5509  0.5287  AAA      J9s   
441   AT7    0.5594  0.5439  0.6053  0.5664  0.5220  _AA      ATo   
442   TT5    0.5594  0.6309  0.6979  0.4544  0.4544  ___      TT    
443   QJT    0.5593  0.5110  0.5858  0.5741  0.5663  _AA      JTs   
444   KQ9    0.5592  0.5205  0.6134  0.5598  0.5433  AA_      KQs   
445   TT4    0.5591  0.6464  0.6979  0.4461  0.4461  ___      TT    
446   AT7    0.5590  0.5507  0.6053  0.5893  0.4907  A_A      ATo   
447   KJ9    0.5590  0.5306  0.5870  0.5867  0.5315  A_A      KJo   
448   AQ8    0.5590  0.5196  0.6151  0.5756  0.5256  ___      AQo   
449   QT7    0.5589  0.5786  0.5919  0.5430  0.5220  AAA      QTs   
450   KJ9    0.5588  0.5251  0.5870  0.5632  0.5598  _AA      KJo   
451   A83    0.5587  0.6389  0.6023  0.5628  0.4308  AAA      A8s   
452   AJ5    0.5584  0.5643  0.6072  0.5863  0.4760  A_A      AJo   
453   AJ5    0.5584  0.5595  0.6072  0.5588  0.5081  _AA      AJo   
454   T98    0.5584  0.6104  0.5531  0.5413  0.5287  AAA      T9s   
455   Q88    0.5582  0.5420  0.6395  0.5256  0.5256  ___      88    
456   A82    0.5582  0.6510  0.6023  0.5535  0.4259  AAA      A8s   
457   AJ7    0.5581  0.5381  0.6318  0.5664  0.4961  AA_      AJs   
458   AK4    0.5579  0.5620  0.6231  0.5437  0.5027  ___      AKo   
459   AK3    0.5574  0.5756  0.6231  0.5367  0.4941  ___      AKo   
460   KT3    0.5569  0.6180  0.6056  0.5323  0.4717  AAA      KTs   
461   AJ9    0.5569  0.5093  0.6072  0.5794  0.5315  ___      AJo   
462   A73    0.5564  0.6415  0.5893  0.5628  0.4321  AAA      A7s   
463   K55    0.5564  0.6080  0.5509  0.5492  0.5175  AA_      K5s   
464   A43    0.5564  0.6535  0.5784  0.5628  0.4308  AAA      A4s   
465   QJ6    0.5563  0.5823  0.5981  0.5332  0.5117  AAA      QJs   
466   995    0.5563  0.6359  0.6673  0.4817  0.4402  A_A      99    
467   K55    0.5561  0.6066  0.5509  0.5492  0.5175  A_A      K5s   
468   QJ5    0.5560  0.5865  0.5981  0.5313  0.5081  AAA      QJs   
469   995    0.5559  0.6345  0.6673  0.4817  0.4402  _AA      99    
470   AT9    0.5557  0.5119  0.6053  0.5794  0.5263  ___      ATo   
471   AJ4    0.5557  0.5752  0.6072  0.5784  0.4620  A_A      AJo   
472   AQ3    0.5556  0.5779  0.6367  0.5367  0.4711  AA_      AQs   
473   AT7    0.5555  0.5383  0.6265  0.5664  0.4907  AA_      ATs   
474   J88    0.5549  0.5457  0.6395  0.5172  0.5172  ___      88    
475   A52    0.5549  0.6639  0.5863  0.5535  0.4159  AAA      A5s   
476   K95    0.5549  0.6001  0.5867  0.5509  0.4817  AAA      K9s   
477   A98    0.5548  0.5357  0.5794  0.5756  0.5287  _AA      A9o   
478   AK2    0.5547  0.5897  0.6231  0.5235  0.4826  ___      AKo   
479   AJ6    0.5546  0.5550  0.6072  0.5811  0.4750  A_A      AJo   
480   KT2    0.5546  0.6285  0.6056  0.5221  0.4622  AAA      KTs   
481   AJ4    0.5546  0.5689  0.6072  0.5437  0.4984  _AA      AJo   
482   JT7    0.5546  0.5796  0.5858  0.5309  0.5220  AAA      JTs   
483   AJ6    0.5543  0.5431  0.6072  0.5553  0.5117  _AA      AJo   
484   KJ9    0.5543  0.5152  0.6105  0.5598  0.5315  AA_      KJs   
485   A63    0.5542  0.6383  0.5811  0.5628  0.4348  AAA      A6s   
486   K76    0.5542  0.6020  0.5667  0.5556  0.4925  AAA      K7s   
487   AJ8    0.5542  0.5168  0.6072  0.5756  0.5172  ___      AJo   
488   K86    0.5542  0.5996  0.5699  0.5556  0.4915  AAA      K8s   
489   AJ3    0.5538  0.5784  0.6072  0.5367  0.4930  _AA      AJo   
490   TT3    0.5536  0.6551  0.6979  0.4308  0.4308  ___      TT    
491   886    0.5534  0.6314  0.6395  0.4915  0.4513  A_A      88    
492   AQ2    0.5534  0.5936  0.6367  0.5235  0.4596  AA_      AQs   
493   KT9    0.5533  0.5202  0.5803  0.5598  0.5531  _AA      KTo   
494   QJT    0.5532  0.5163  0.5741  0.5663  0.5562  ___      QJo   
495   QT6    0.5527  0.5790  0.5919  0.5332  0.5067  AAA      QTs   
496   886    0.5527  0.6284  0.6395  0.4915  0.4513  _AA      88    
497   AJ5    0.5523  0.5426  0.6318  0.5588  0.4760  AA_      AJs   
498   996    0.5521  0.6229  0.6673  0.4590  0.4590  ___      99    
499   AQ5    0.5520  0.5366  0.6151  0.5588  0.4973  ___      AQo   
500   QJ4    0.5518  0.5897  0.5981  0.5212  0.4984  AAA      QJs   
501   AQ7    0.5518  0.5182  0.6151  0.5664  0.5076  ___      AQo   
502   AT6    0.5518  0.5489  0.6053  0.5811  0.4717  A_A      ATo   
503   QJ3    0.5514  0.6019  0.5981  0.5126  0.4930  AAA      QJs   
504   TT2    0.5512  0.6644  0.6979  0.4212  0.4212  ___      TT    
505   AT6    0.5512  0.5375  0.6053  0.5553  0.5067  _AA      ATo   
506   AJ3    0.5510  0.5822  0.6072  0.5628  0.4518  A_A      AJo   
507   QJ9    0.5508  0.5239  0.5741  0.5738  0.5315  A_A      QJo   
508   A98    0.5506  0.5289  0.6052  0.5756  0.4930  AA_      A9s   
509   A44    0.5504  0.5976  0.5437  0.5437  0.5166  ___      A4o   
510   887    0.5504  0.6166  0.6395  0.4728  0.4728  ___      88    
511   222    0.5503  0.8763  0.4417  0.4417  0.4417  ___      22    
512   Q97    0.5503  0.5740  0.5738  0.5430  0.5103  AAA      Q9s   
513   AJ2    0.5502  0.6018  0.6072  0.5535  0.4383  A_A      AJo   
514   AJ2    0.5502  0.5953  0.6072  0.5235  0.4748  _AA      AJo   
515   AT8    0.5502  0.5111  0.6053  0.5756  0.5087  ___      ATo   
516   KT9    0.5502  0.5090  0.6056  0.5598  0.5263  AA_      KTs   
517   T88    0.5501  0.5436  0.6395  0.5087  0.5087  ___      88    
518   AT5    0.5500  0.5541  0.6053  0.5863  0.4544  A_A      ATo   
519   AT5    0.5497  0.5446  0.6053  0.5588  0.4902  _AA      ATo   
520   A72    0.5497  0.6454  0.5893  0.5535  0.4108  AAA      A7s   
521   A33    0.5497  0.6218  0.5628  0.5367  0.4775  A_A      A3s   
522   QJ9    0.5495  0.5176  0.5741  0.5632  0.5433  _AA      QJo   
523   AQ6    0.5493  0.5208  0.6151  0.5553  0.5059  ___      AQo   
524   A33    0.5492  0.6199  0.5628  0.5367  0.4775  AA_      A3s   
525   AJ4    0.5489  0.5581  0.6318  0.5437  0.4620  AA_      AJs   
526   AJ6    0.5488  0.5333  0.6318  0.5553  0.4750  AA_      AJs   
527   Q77    0.5488  0.5396  0.6050  0.5430  0.5076  A_A      77    
528   AQ4    0.5487  0.5486  0.6151  0.5437  0.4872  ___      AQo   
529   988    0.5485  0.5684  0.6395  0.4930  0.4930  ___      88    
530   QT5    0.5484  0.5803  0.5919  0.5313  0.4902  AAA      QTs   
531   AT4    0.5484  0.5637  0.6053  0.5784  0.4461  A_A      ATo   
532   KQ8    0.5484  0.5104  0.5874  0.5699  0.5256  A_A      KQo   
533   A97    0.5483  0.5369  0.5794  0.5664  0.5103  _AA      A9o   
534   Q77    0.5482  0.5373  0.6050  0.5430  0.5076  AA_      77    
535   A42    0.5481  0.6545  0.5784  0.5535  0.4061  AAA      A4s   
536   AJ3    0.5480  0.5718  0.6318  0.5367  0.4518  AA_      AJs   
537   K65    0.5479  0.6076  0.5556  0.5509  0.4773  AAA      K6s   
538   AT4    0.5476  0.5561  0.6053  0.5437  0.4851  _AA      ATo   
539   K85    0.5476  0.5939  0.5699  0.5509  0.4754  AAA      K8s   
540   K94    0.5474  0.5984  0.5867  0.5426  0.4618  AAA      K9s   
541   K77    0.5473  0.5139  0.6050  0.5351  0.5351  ___      77    
542   K66    0.5469  0.5238  0.5789  0.5556  0.5294  A_A      66    
543   KT9    0.5469  0.4944  0.5867  0.5803  0.5263  A_A      K9s   
544   K75    0.5468  0.5972  0.5667  0.5509  0.4725  AAA      K7s   
545   AT6    0.5465  0.5326  0.6265  0.5553  0.4717  AA_      ATs   
546   KQ8    0.5465  0.5081  0.5874  0.5528  0.5376  _AA      KQo   
547   K66    0.5464  0.5216  0.5789  0.5556  0.5294  AA_      66    
548   A87    0.5462  0.5344  0.5756  0.5664  0.5085  _AA      A8o   
549   A62    0.5462  0.6436  0.5811  0.5535  0.4065  AAA      A6s   
550   994    0.5459  0.6374  0.6673  0.4618  0.4173  _AA      99    
551   A66    0.5458  0.4938  0.5789  0.5553  0.5553  ___      66    
552   QT4    0.5458  0.5849  0.5919  0.5212  0.4851  AAA      QTs   
553   AQ3    0.5456  0.5596  0.6151  0.5367  0.4711  ___      AQo   
554   A97    0.5455  0.5286  0.6052  0.5664  0.4819  AA_      A9s   
555   KQ7    0.5455  0.5163  0.5874  0.5430  0.5351  _AA      KQo   
556   994    0.5454  0.6354  0.6673  0.4618  0.4173  A_A      99    
557   QJ9    0.5453  0.5081  0.5981  0.5433  0.5315  AA_      QJs   
558   993    0.5452  0.6499  0.6673  0.4526  0.4112  A_A      99    
559   KQ9    0.5452  0.4902  0.5874  0.5598  0.5433  ___      KQo   
560   KQ7    0.5451  0.5189  0.5874  0.5667  0.5076  A_A      KQo   
561   A98    0.5451  0.5058  0.6023  0.5794  0.4930  A_A      A8s   
562   993    0.5450  0.6491  0.6673  0.4526  0.4112  _AA      99    
563   AJ7    0.5448  0.5095  0.6072  0.5664  0.4961  ___      AJo   
564   Q96    0.5448  0.5775  0.5738  0.5332  0.4947  AAA      Q9s   
565   AT3    0.5447  0.5649  0.6053  0.5367  0.4717  _AA      ATo   
566   QT9    0.5447  0.5159  0.5663  0.5531  0.5433  _AA      QTo   
567   J97    0.5443  0.5729  0.5632  0.5309  0.5103  AAA      J9s   
568   KJ8    0.5443  0.5028  0.5870  0.5699  0.5172  A_A      KJo   
569   J77    0.5441  0.5446  0.6050  0.5309  0.4961  AA_      77    
570   QJ2    0.5441  0.6059  0.5981  0.4975  0.4748  AAA      QJs   
571   KJ8    0.5441  0.5008  0.5870  0.5509  0.5376  _AA      KJo   
572   AJ2    0.5441  0.5827  0.6318  0.5235  0.4383  AA_      AJs   
573   Q87    0.5440  0.5718  0.5528  0.5430  0.5085  AAA      Q8s   
574   K93    0.5439  0.6040  0.5867  0.5323  0.4526  AAA      K9s   
575   AT5    0.5437  0.5352  0.6265  0.5588  0.4544  AA_      ATs   
576   AT7    0.5436  0.5120  0.6053  0.5664  0.4907  ___      ATo   
577   J77    0.5433  0.5412  0.6050  0.5309  0.4961  A_A      77    
578   KQ6    0.5432  0.5228  0.5874  0.5332  0.5294  _AA      KQo   
579   AT3    0.5431  0.5737  0.6053  0.5628  0.4308  A_A      ATo   
580   QT3    0.5429  0.5952  0.5919  0.5126  0.4717  AAA      QTs   
581   KQ8    0.5427  0.4943  0.6134  0.5376  0.5256  AA_      KQs   
582   KQ6    0.5427  0.5217  0.5874  0.5556  0.5059  A_A      KQo   
583   QT9    0.5426  0.5087  0.5919  0.5433  0.5263  AA_      QTs   
584   T97    0.5425  0.5845  0.5531  0.5220  0.5103  AAA      T9s   
585   A87    0.5424  0.5280  0.6023  0.5664  0.4728  AA_      A8s   
586   776    0.5423  0.6167  0.6050  0.4925  0.4548  A_A      77    
587   AT2    0.5422  0.5777  0.6053  0.5235  0.4622  _AA      ATo   
588   992    0.5421  0.6605  0.6673  0.4425  0.3982  A_A      99    
589   AQ2    0.5421  0.5700  0.6151  0.5235  0.4596  ___      AQo   
590   885    0.5420  0.6192  0.6395  0.4754  0.4340  _AA      88    
591   992    0.5419  0.6597  0.6673  0.4425  0.3982  _AA      99    
592   K44    0.5419  0.6055  0.5426  0.5166  0.5027  A_A      K4s   
593   776    0.5415  0.6137  0.6050  0.4925  0.4548  _AA      77    
594   877    0.5415  0.5799  0.6050  0.5085  0.4728  AA_      77    
595   K44    0.5415  0.6038  0.5426  0.5166  0.5027  AA_      K4s   
596   JT9    0.5414  0.5248  0.5562  0.5531  0.5315  _AA      JTo   
597   KJ9    0.5413  0.4868  0.5870  0.5598  0.5315  ___      KJo   
598   KT8    0.5412  0.5060  0.5803  0.5699  0.5087  A_A      KTo   
599   T77    0.5412  0.5469  0.6050  0.5220  0.4907  AA_      77    
600   K92    0.5412  0.6133  0.5867  0.5221  0.4425  AAA      K9s   
601   T77    0.5411  0.5468  0.6050  0.5220  0.4907  A_A      77    
602   AJ5    0.5411  0.5223  0.6072  0.5588  0.4760  ___      AJo   
603   885    0.5411  0.6153  0.6395  0.4754  0.4340  A_A      88    
604   977    0.5410  0.5668  0.6050  0.5103  0.4819  A_A      77    
605   AT2    0.5409  0.5837  0.6053  0.5535  0.4212  A_A      ATo   
606   K84    0.5408  0.5958  0.5699  0.5426  0.4547  AAA      K8s   
607   J87    0.5407  0.5727  0.5509  0.5309  0.5085  AAA      J8s   
608   KQ5    0.5406  0.5269  0.5874  0.5509  0.4973  A_A      KQo   
609   877    0.5404  0.5754  0.6050  0.5085  0.4728  A_A      77    
610   KQ7    0.5402  0.5048  0.6134  0.5351  0.5076  AA_      KQs   
611   K54    0.5402  0.6076  0.5509  0.5426  0.4597  AAA      K5s   
612   A32    0.5401  0.6494  0.5628  0.5535  0.3947  AAA      A3s   
613   AT4    0.5401  0.5440  0.6265  0.5437  0.4461  AA_      ATs   
614   K74    0.5400  0.5982  0.5667  0.5426  0.4526  AAA      K7s   
615   JT9    0.5399  0.5159  0.5858  0.5315  0.5263  AA_      JTs   
616   A98    0.5398  0.5113  0.5794  0.5756  0.4930  ___      A9o   
617   KJ7    0.5398  0.5063  0.5870  0.5351  0.5309  _AA      KJo   
618   KJ7    0.5398  0.5093  0.5870  0.5667  0.4961  A_A      KJo   
619   JT6    0.5398  0.5549  0.5858  0.5117  0.5067  AAA      JTs   
620   KQ5    0.5397  0.5224  0.5874  0.5313  0.5175  _AA      KQo   
621   Q95    0.5396  0.5716  0.5738  0.5313  0.4817  AAA      Q9s   
622   KT8    0.5396  0.4990  0.5803  0.5413  0.5376  _AA      KTo   
623   977    0.5394  0.5604  0.6050  0.5103  0.4819  AA_      77    
624   KQ6    0.5392  0.5082  0.6134  0.5294  0.5059  AA_      KQs   
625   A95    0.5392  0.5368  0.5794  0.5588  0.4817  _AA      A9o   
626   T87    0.5391  0.5847  0.5413  0.5220  0.5085  AAA      T8s   
627   995    0.5391  0.6088  0.6673  0.4402  0.4402  ___      99    
628   QT9    0.5386  0.4881  0.5738  0.5663  0.5263  A_A      Q9s   
629   KJ8    0.5386  0.4889  0.6105  0.5376  0.5172  AA_      KJs   
630   KQ4    0.5385  0.5367  0.5874  0.5426  0.4872  A_A      KQo   
631   Q86    0.5385  0.5764  0.5528  0.5332  0.4915  AAA      Q8s   
632   A96    0.5381  0.5230  0.5794  0.5553  0.4947  _AA      A9o   
633   KT9    0.5381  0.4858  0.5803  0.5598  0.5263  ___      KTo   
634   AJ4    0.5378  0.5383  0.6072  0.5437  0.4620  ___      AJo   
635   QT2    0.5378  0.5996  0.5919  0.4975  0.4622  AAA      QTs   
636   A97    0.5376  0.4999  0.5893  0.5794  0.4819  A_A      A7s   
637   AT3    0.5373  0.5551  0.6265  0.5367  0.4308  AA_      ATs   
638   A86    0.5372  0.5264  0.5756  0.5553  0.4915  _AA      A8o   
639   886    0.5371  0.6061  0.6395  0.4513  0.4513  ___      88    
640   A33    0.5369  0.5968  0.5367  0.5367  0.4775  ___      A3o   
641   K64    0.5369  0.5988  0.5556  0.5426  0.4504  AAA      K6s   
642   AJ6    0.5368  0.5095  0.6072  0.5553  0.4750  ___      AJo   
643   QJ8    0.5367  0.4963  0.5741  0.5509  0.5256  _AA      QJo   
644   QJ8    0.5364  0.5017  0.5741  0.5528  0.5172  A_A      QJo   
645   KT7    0.5361  0.5069  0.5803  0.5667  0.4907  A_A      KTo   
646   JT5    0.5361  0.5604  0.5858  0.5081  0.4902  AAA      JTs   
647   A87    0.5361  0.5068  0.5893  0.5756  0.4728  A_A      A7s   
648   987    0.5358  0.5957  0.5287  0.5103  0.5085  AAA      98s   
649   Q76    0.5357  0.5742  0.5430  0.5332  0.4925  AAA      Q7s   
650   A85    0.5357  0.5328  0.5756  0.5588  0.4754  _AA      A8o   
651   AJ3    0.5356  0.5467  0.6072  0.5367  0.4518  ___      AJo   
652   KQ4    0.5355  0.5309  0.5874  0.5212  0.5027  _AA      KQo   
653   A22    0.5354  0.6231  0.5535  0.5235  0.4417  A_A      A2s   
654   KT8    0.5354  0.4897  0.6056  0.5376  0.5087  AA_      KTs   
655   A96    0.5354  0.5220  0.6052  0.5553  0.4590  AA_      A9s   
656   A76    0.5353  0.5272  0.5664  0.5553  0.4925  _AA      A7o   
657   KJ7    0.5353  0.4995  0.6105  0.5351  0.4961  AA_      KJs   
658   KT7    0.5353  0.5038  0.5803  0.5351  0.5220  _AA      KTo   
659   A22    0.5353  0.6224  0.5535  0.5235  0.4417  AA_      A2s   
660   KQ3    0.5351  0.5465  0.5874  0.5126  0.4941  _AA      KQo   
661   AT2    0.5345  0.5667  0.6265  0.5235  0.4212  AA_      ATs   
662   JT9    0.5343  0.4917  0.5632  0.5562  0.5263  A_A      J9s   
663   AT6    0.5342  0.5047  0.6053  0.5553  0.4717  ___      ATo   
664   Q66    0.5342  0.5188  0.5789  0.5332  0.5059  AA_      66    
665   Q66    0.5340  0.5180  0.5789  0.5332  0.5059  A_A      66    
666   KQ5    0.5338  0.5070  0.6134  0.5175  0.4973  AA_      KQs   
667   KQ3    0.5338  0.5442  0.5874  0.5323  0.4711  A_A      KQo   
668   JT4    0.5337  0.5656  0.5858  0.4984  0.4851  AAA      JTs   
669   A97    0.5335  0.5063  0.5794  0.5664  0.4819  ___      A9o   
670   A95    0.5335  0.5297  0.6052  0.5588  0.4402  AA_      A9s   
671   K66    0.5335  0.4960  0.5789  0.5294  0.5294  ___      66    
672   QJ9    0.5334  0.4845  0.5741  0.5433  0.5315  ___      QJo   
673   K73    0.5332  0.6019  0.5667  0.5323  0.4321  AAA      K7s   
674   AT5    0.5331  0.5140  0.6053  0.5588  0.4544  ___      ATo   
675   KT7    0.5331  0.5011  0.6056  0.5351  0.4907  AA_      KTs   
676   K83    0.5329  0.5987  0.5699  0.5323  0.4308  AAA      K8s   
677   884    0.5329  0.6215  0.6395  0.4547  0.4158  _AA      88    
678   KJ6    0.5327  0.5026  0.5870  0.5294  0.5117  _AA      KJo   
679   Q85    0.5326  0.5711  0.5528  0.5313  0.4754  AAA      Q8s   
680   Q94    0.5326  0.5736  0.5738  0.5212  0.4618  AAA      Q9s   
