====================================================================================================
3-CARD PREFLOP SCORES FOR TOSS'EM HOLD'EM (MONTE CARLO)
====================================================================================================

Simulations per hand: 50000

Formula:
  Preflop Score = (3card_equity + 2card_eq_1 + 2card_eq_2 + 2card_eq_3) / 4

Total hand classes: 1911

----------------------------------------------------------------------------------------------------
Rank  Hand   Score   Raw3c   2c_1    2c_2    2c_3    Pattern  Best  
77    QQJ    0.6528  0.7170  0.7462  0.5741  0.5741  ___      QQ    
78    666    0.6528  0.8744  0.5789  0.5789  0.5789  ___      66    
79    KJJ    0.6508  0.6818  0.7240  0.6105  0.5870  AA_      JJ    
80    KQQ    0.6502  0.6799  0.7462  0.5874  0.5874  ___      QQ    
81    KK5    0.6502  0.7657  0.7667  0.5509  0.5175  A_A      KK    
82    KJJ    0.6502  0.6792  0.7240  0.6105  0.5870  A_A      JJ    
83    KK5    0.6500  0.7647  0.7667  0.5509  0.5175  _AA      KK    
84    QQ9    0.6488  0.7319  0.7462  0.5738  0.5433  _AA      QQ    
85    QQ9    0.6477  0.7276  0.7462  0.5738  0.5433  A_A      QQ    
86    QQT    0.6467  0.7079  0.7462  0.5663  0.5663  ___      QQ    
87    AKQ    0.6464  0.6941  0.6413  0.6367  0.6134  AAA      AKs   
88    KK4    0.6463  0.7733  0.7667  0.5426  0.5027  A_A      KK    
89    JJT    0.6461  0.7183  0.7240  0.5858  0.5562  _AA      JJ    
90    KK4    0.6460  0.7721  0.7667  0.5426  0.5027  _AA      KK    
91    KK3    0.6459  0.7906  0.7667  0.5323  0.4941  A_A      KK    
92    JJT    0.6453  0.7153  0.7240  0.5858  0.5562  A_A      JJ    
93    AJJ    0.6449  0.6412  0.7240  0.6072  0.6072  ___      JJ    
94    KK3    0.6448  0.7863  0.7667  0.5323  0.4941  _AA      KK    
95    QJJ    0.6444  0.6813  0.7240  0.5981  0.5741  AA_      JJ    
96    QJJ    0.6438  0.6791  0.7240  0.5981  0.5741  A_A      JJ    
97    ATT    0.6426  0.6409  0.6979  0.6265  0.6053  AA_      TT    
98    KK2    0.6425  0.7988  0.7667  0.5221  0.4826  A_A      KK    
99    KK2    0.6422  0.7974  0.7667  0.5221  0.4826  _AA      KK    
100   AKJ    0.6415  0.6824  0.6413  0.6318  0.6105  AAA      AKs   
101   KK7    0.6411  0.7277  0.7667  0.5351  0.5351  ___      KK    
102   ATT    0.6409  0.6341  0.6979  0.6265  0.6053  A_A      TT    
103   KK8    0.6405  0.7200  0.7667  0.5376  0.5376  ___      KK    
104   KK6    0.6389  0.7302  0.7667  0.5294  0.5294  ___      KK    
105   QQ8    0.6386  0.7300  0.7462  0.5528  0.5256  A_A      QQ    
106   AKT    0.6380  0.6785  0.6413  0.6265  0.6056  AAA      AKs   
107   QQ8    0.6373  0.7248  0.7462  0.5528  0.5256  _AA      QQ    
108   KJJ    0.6369  0.6494  0.7240  0.5870  0.5870  ___      JJ    
109   AQJ    0.6360  0.6773  0.6367  0.6318  0.5981  AAA      AQs   
110   QQ9    0.6341  0.7035  0.7462  0.5433  0.5433  ___      QQ    
111   KK5    0.6338  0.7334  0.7667  0.5175  0.5175  ___      KK    
112   KTT    0.6331  0.6489  0.6979  0.6056  0.5803  A_A      TT    
113   KTT    0.6326  0.6468  0.6979  0.6056  0.5803  AA_      TT    
114   JJ9    0.6314  0.7069  0.7240  0.5632  0.5315  _AA      JJ    
115   AQT    0.6312  0.6698  0.6367  0.6265  0.5919  AAA      AQs   
116   JJT    0.6310  0.6875  0.7240  0.5562  0.5562  ___      JJ    
117   JJ9    0.6307  0.7042  0.7240  0.5632  0.5315  A_A      JJ    
118   QJJ    0.6294  0.6455  0.7240  0.5741  0.5741  ___      JJ    
119   KK4    0.6293  0.7452  0.7667  0.5027  0.5027  ___      KK    
120   QQ6    0.6292  0.7317  0.7462  0.5332  0.5059  A_A      QQ    
121   QQ7    0.6291  0.7196  0.7462  0.5430  0.5076  _AA      QQ    
122   QQ7    0.6290  0.7190  0.7462  0.5430  0.5076  A_A      QQ    
123   555    0.6289  0.8681  0.5492  0.5492  0.5492  ___      55    
124   AJT    0.6284  0.6696  0.6318  0.6265  0.5858  AAA      AJs   
125   ATT    0.6281  0.6037  0.6979  0.6053  0.6053  ___      TT    
126   KK3    0.6279  0.7566  0.7667  0.4941  0.4941  ___      KK    
127   QQ6    0.6275  0.7249  0.7462  0.5332  0.5059  _AA      QQ    
128   KK2    0.6268  0.7755  0.7667  0.4826  0.4826  ___      KK    
129   QTT    0.6266  0.6504  0.6979  0.5919  0.5663  A_A      TT    
130   QTT    0.6265  0.6501  0.6979  0.5919  0.5663  AA_      TT    
131   QQ5    0.6253  0.7267  0.7462  0.5313  0.4973  _AA      QQ    
132   QQ5    0.6253  0.7266  0.7462  0.5313  0.4973  A_A      QQ    
133   JJ8    0.6240  0.7039  0.7240  0.5509  0.5172  A_A      JJ    
134   QQ4    0.6238  0.7404  0.7462  0.5212  0.4872  _AA      QQ    
135   AK9    0.6237  0.6615  0.6413  0.6052  0.5867  AAA      AKs   
136   QQ4    0.6233  0.7387  0.7462  0.5212  0.4872  A_A      QQ    
137   JTT    0.6233  0.6534  0.6979  0.5858  0.5562  AA_      TT    
138   QQ8    0.6233  0.6957  0.7462  0.5256  0.5256  ___      QQ    
139   JTT    0.6232  0.6531  0.6979  0.5858  0.5562  A_A      TT    
140   JJ8    0.6231  0.7003  0.7240  0.5509  0.5172  _AA      JJ    
141   QQ3    0.6205  0.7520  0.7462  0.5126  0.4711  A_A      QQ    
142   KQJ    0.6204  0.6596  0.6134  0.6105  0.5981  AAA      KQs   
143   AK8    0.6200  0.6665  0.6413  0.6023  0.5699  AAA      AKs   
144   QQ3    0.6196  0.7485  0.7462  0.5126  0.4711  _AA      QQ    
145   KTT    0.6192  0.6185  0.6979  0.5803  0.5803  ___      TT    
146   AK7    0.6172  0.6716  0.6413  0.5893  0.5667  AAA      AKs   
147   AQ9    0.6172  0.6532  0.6367  0.6052  0.5738  AAA      AQs   
148   JJ9    0.6170  0.6810  0.7240  0.5315  0.5315  ___      JJ    
149   TT9    0.6169  0.6901  0.6979  0.5531  0.5263  A_A      TT    
150   TT9    0.6168  0.6899  0.6979  0.5531  0.5263  _AA      TT    
151   QQ2    0.6163  0.7618  0.7462  0.4975  0.4596  A_A      QQ    
152   QQ2    0.6160  0.7606  0.7462  0.4975  0.4596  _AA      QQ    
153   KQT    0.6156  0.6516  0.6134  0.6056  0.5919  AAA      KQs   
154   AK5    0.6149  0.6811  0.6413  0.5863  0.5509  AAA      AKs   
155   QQ6    0.6136  0.6966  0.7462  0.5059  0.5059  ___      QQ    
156   AKQ    0.6136  0.6029  0.6231  0.6151  0.6134  _AA      AKo   
157   QQ7    0.6135  0.6927  0.7462  0.5076  0.5076  ___      QQ    
158   AK4    0.6130  0.6896  0.6413  0.5784  0.5426  AAA      AKs   
159   AK6    0.6129  0.6733  0.6413  0.5811  0.5556  AAA      AKs   
160   AQ8    0.6128  0.6593  0.6367  0.6023  0.5528  AAA      AQs   
161   AJ9    0.6123  0.6493  0.6318  0.6052  0.5632  AAA      AJs   
162   A99    0.6122  0.5971  0.6673  0.6052  0.5794  A_A      99    
163   KJT    0.6122  0.6472  0.6105  0.6056  0.5858  AAA      KJs   
164   A99    0.6119  0.5959  0.6673  0.6052  0.5794  AA_      99    
165   JJ7    0.6117  0.6960  0.7240  0.5309  0.4961  _AA      JJ    
166   QTT    0.6116  0.6161  0.6979  0.5663  0.5663  ___      TT    
167   JJ7    0.6112  0.6939  0.7240  0.5309  0.4961  A_A      JJ    
168   QQ5    0.6099  0.6987  0.7462  0.4973  0.4973  ___      QQ    
169   AJ8    0.6093  0.6523  0.6318  0.6023  0.5509  AAA      AJs   
170   JJ8    0.6088  0.6770  0.7240  0.5172  0.5172  ___      JJ    
171   AKJ    0.6086  0.5937  0.6231  0.6105  0.6072  _AA      AKo   
172   AK3    0.6082  0.6964  0.6413  0.5628  0.5323  AAA      AKs   
173   AT9    0.6080  0.6471  0.6265  0.6052  0.5531  AAA      ATs   
174   AQ7    0.6075  0.6608  0.6367  0.5893  0.5430  AAA      AQs   
175   JTT    0.6073  0.6189  0.6979  0.5562  0.5562  ___      TT    
176   TT8    0.6072  0.6811  0.6979  0.5413  0.5087  _AA      TT    
177   AKQ    0.6070  0.5840  0.6413  0.6151  0.5874  AA_      AKs   
178   TT8    0.6069  0.6796  0.6979  0.5413  0.5087  A_A      TT    
179   QQ4    0.6068  0.7065  0.7462  0.4872  0.4872  ___      QQ    
180   AQ5    0.6056  0.6683  0.6367  0.5863  0.5313  AAA      AQs   
181   AK2    0.6056  0.7055  0.6413  0.5535  0.5221  AAA      AKs   
182   QJT    0.6055  0.6460  0.5981  0.5919  0.5858  AAA      QJs   
183   AKT    0.6054  0.5875  0.6231  0.6056  0.6053  _AA      AKo   
184   444    0.6053  0.8712  0.5166  0.5166  0.5166  ___      44    
185   AT8    0.6049  0.6497  0.6265  0.6023  0.5413  AAA      ATs   
186   AKQ    0.6044  0.5706  0.6367  0.6231  0.5874  A_A      AQs   
187   K99    0.6044  0.6040  0.6673  0.5867  0.5598  AA_      99    
188   K99    0.6040  0.6021  0.6673  0.5867  0.5598  A_A      99    
189   AKJ    0.6038  0.5797  0.6413  0.6072  0.5870  AA_      AKs   
190   TT9    0.6037  0.6643  0.6979  0.5263  0.5263  ___      TT    
191   AQ4    0.6034  0.6774  0.6367  0.5784  0.5212  AAA      AQs   
192   AQ6    0.6029  0.6607  0.6367  0.5811  0.5332  AAA      AQs   
193   QQ3    0.6027  0.7224  0.7462  0.4711  0.4711  ___      QQ    
194   KQ9    0.6014  0.6320  0.6134  0.5867  0.5738  AAA      KQs   
195   JJ6    0.6005  0.6912  0.7240  0.5117  0.4750  A_A      JJ    
196   AJ7    0.6001  0.6485  0.6318  0.5893  0.5309  AAA      AJs   
197   AKJ    0.6001  0.5584  0.6318  0.6231  0.5870  A_A      AJs   
198   QQ2    0.6000  0.7348  0.7462  0.4596  0.4596  ___      QQ    
199   AQJ    0.6000  0.5794  0.6151  0.6072  0.5981  _AA      AQo   
200   AKT    0.5999  0.5727  0.6413  0.6053  0.5803  AA_      AKs   
201   JJ5    0.5998  0.6912  0.7240  0.5081  0.4760  _AA      JJ    
202   JJ6    0.5997  0.6880  0.7240  0.5117  0.4750  _AA      JJ    
203   JJ5    0.5995  0.6899  0.7240  0.5081  0.4760  A_A      JJ    
204   Q99    0.5990  0.6116  0.6673  0.5738  0.5433  A_A      99    
205   AQ3    0.5987  0.6828  0.6367  0.5628  0.5126  AAA      AQs   
206   Q99    0.5983  0.6090  0.6673  0.5738  0.5433  AA_      99    
207   A99    0.5981  0.5663  0.6673  0.5794  0.5794  ___      99    
