====================================================================================================
3-CARD PREFLOP SCORES - TOSS'EM HOLD'EM
====================================================================================================

Simulations per hand: 50000

Scoring: preflop_score = pure 3-card MC equity
         (both players discard optimally in simulation)

Total hand classes: 1911

------------------------------------------------------------------------------------------
Rank   Hand   Score    Pattern  Keep   Best2c   2nd2c    Flex  
404    773    0.6001   A_A      77     0.6112   0.4311   0.820 
405    K74    0.6001   AAA      K7s    0.5678   0.5401   0.972 
406    K75    0.6000   AAA      K7s    0.5678   0.5536   0.986 
407    772    0.5999   A_A      77     0.6112   0.4078   0.797 
408    Q44    0.5997   AA_      Q4s    0.5156   0.5079   0.992 
409    Q22    0.5995   AA_      Q2s    0.5007   0.4590   0.958 
410    664    0.5994   _AA      66     0.5788   0.4477   0.869 
411    665    0.5990   _AA      66     0.5788   0.4731   0.894 
412    K94    0.5990   AAA      K9s    0.5881   0.5401   0.952 
413    QJ3    0.5990   AAA      QJs    0.5990   0.5097   0.911 
414    K72    0.5985   AAA      K7s    0.5678   0.5229   0.955 
415    A22    0.5983   ___      A2o    0.5222   0.5222   1.000 
416    A99    0.5982   A_A      99     0.6697   0.6078   0.938 
417    K42    0.5977   AAA      K4s    0.5401   0.5229   0.983 
418    K73    0.5976   AAA      K7s    0.5678   0.5340   0.966 
419    A33    0.5973   ___      A3o    0.5327   0.5327   1.000 
420    QJ4    0.5973   AAA      QJs    0.5990   0.5156   0.917 
421    K96    0.5973   AAA      K9s    0.5881   0.5600   0.972 
422    A99    0.5971   AA_      99     0.6697   0.6078   0.938 
423    K85    0.5968   AAA      K8s    0.5696   0.5536   0.984 
424    A44    0.5966   ___      A4o    0.5422   0.5422   1.000 
425    Q33    0.5966   AA_      Q3s    0.5097   0.4768   0.967 
426    AK5    0.5966   A_A      AKo    0.6233   0.5858   0.963 
427    K84    0.5964   AAA      K8s    0.5696   0.5401   0.971 
428    988    0.5963   A_A      88     0.6355   0.5284   0.893 
429    J33    0.5960   A_A      J3s    0.4884   0.4768   0.988 
430    AKJ    0.5959   _AA      AKo    0.6233   0.6104   0.987 
431    883    0.5957   ___      88     0.6355   0.3926   0.757 
432    J98    0.5953   AAA      J9s    0.5618   0.5496   0.988 
433    AK3    0.5953   AA_      AKs    0.6426   0.5327   0.890 
434    AQ3    0.5950   _AA      AQo    0.6171   0.5327   0.916 
435    988    0.5950   AA_      88     0.6355   0.5284   0.893 
436    664    0.5949   A_A      66     0.5788   0.4477   0.869 
437    Q98    0.5949   AAA      Q9s    0.5742   0.5551   0.981 
438    885    0.5948   ___      88     0.6355   0.4343   0.799 
439    776    0.5948   ___      77     0.6112   0.4509   0.840 
440    884    0.5946   ___      88     0.6355   0.4157   0.780 
441    K83    0.5944   AAA      K8s    0.5696   0.5340   0.964 
442    663    0.5944   _AA      66     0.5788   0.4330   0.854 
443    A55    0.5939   ___      A5o    0.5586   0.5586   1.000 
444    J22    0.5938   A_A      J2s    0.4771   0.4406   0.963 
445    QT3    0.5936   AAA      QTs    0.5926   0.5097   0.917 
446    T22    0.5935   AA_      T2s    0.4638   0.4406   0.977 
447    AKT    0.5931   _AA      AKo    0.6233   0.6095   0.986 
448    922    0.5931   A_A      92s    0.4428   0.4406   0.998 
449    922    0.5929   AA_      92s    0.4428   0.4406   0.998 
450    J22    0.5927   AA_      J2s    0.4771   0.4406   0.963 
451    663    0.5924   A_A      66     0.5788   0.4330   0.854 
452    662    0.5918   _AA      66     0.5788   0.4106   0.832 
453    T22    0.5918   A_A      T2s    0.4638   0.4406   0.977 
454    Q22    0.5918   A_A      Q2s    0.5007   0.4590   0.958 
455    AJ2    0.5913   _AA      AJo    0.6088   0.5222   0.913 
456    J33    0.5900   AA_      J3s    0.4884   0.4768   0.988 
457    AK5    0.5899   _AA      AKo    0.6233   0.5586   0.935 
458    AQ2    0.5897   AA_      AQs    0.6368   0.5222   0.885 
459    662    0.5896   A_A      66     0.5788   0.4106   0.832 
460    653    0.5888   AAA      65s    0.4731   0.4414   0.968 
461    AK4    0.5887   AA_      AKs    0.6426   0.5422   0.900 
462    K32    0.5885   AAA      K3s    0.5340   0.5229   0.989 
463    QJ5    0.5878   AAA      QJs    0.5990   0.5308   0.932 
464    AKQ    0.5875   AA_      AKs    0.6426   0.6171   0.975 
465    AQ4    0.5874   A_A      AQo    0.6171   0.5739   0.957 
466    554    0.5868   _AA      55     0.5439   0.4604   0.916 
467    AJ3    0.5866   A_A      AJo    0.6088   0.5665   0.958 
468    754    0.5863   AAA      75s    0.4728   0.4604   0.988 
469    Q92    0.5859   AAA      Q9s    0.5742   0.5007   0.927 
470    T97    0.5856   AAA      T9s    0.5552   0.5194   0.964 
471    AK2    0.5853   ___      AKo    0.6233   0.5222   0.899 
472    QT4    0.5853   AAA      QTs    0.5926   0.5156   0.923 
473    AQ4    0.5850   _AA      AQo    0.6171   0.5422   0.925 
474    AQJ    0.5844   _AA      AQo    0.6171   0.6088   0.992 
475    554    0.5842   A_A      55     0.5439   0.4604   0.916 
476    QJ6    0.5840   AAA      QJs    0.5990   0.5396   0.941 
477    T99    0.5832   ___      99     0.6697   0.5249   0.855 
478    773    0.5829   ___      77     0.6112   0.3891   0.778 
479    553    0.5827   A_A      55     0.5439   0.4414   0.897 
480    AJ2    0.5824   AA_      AJs    0.6301   0.5222   0.892 
481    552    0.5822   _AA      55     0.5439   0.4199   0.876 
482    AT2    0.5816   A_A      ATo    0.6039   0.5575   0.954 
483    764    0.5816   AAA      76s    0.4918   0.4506   0.959 
484    QJ7    0.5809   AAA      QJs    0.5990   0.5408   0.942 
485    643    0.5806   AAA      64s    0.4477   0.4330   0.985 
486    T87    0.5806   AAA      T8s    0.5412   0.5194   0.978 
487    774    0.5805   ___      77     0.6112   0.4167   0.806 
488    T88    0.5805   AA_      88     0.6355   0.5412   0.906 
489    A52    0.5805   A_A      A5o    0.5586   0.5575   0.999 
490    Q93    0.5804   AAA      Q9s    0.5742   0.5097   0.936 
491    542    0.5803   AAA      54s    0.4604   0.4199   0.959 
492    AK6    0.5803   A_A      AKo    0.6233   0.5845   0.961 
493    AK6    0.5803   _AA      AKo    0.6233   0.5600   0.937 
494    Q82    0.5802   AAA      Q8s    0.5551   0.5007   0.946 
495    J99    0.5802   ___      99     0.6697   0.5351   0.865 
496    Q65    0.5799   AAA      Q6s    0.5396   0.5308   0.991 
497    Q62    0.5798   AAA      Q6s    0.5396   0.5007   0.961 
498    553    0.5797   _AA      55     0.5439   0.4414   0.897 
499    K22    0.5795   ___      K2o    0.4822   0.4822   1.000 
500    AQ3    0.5795   AA_      AQs    0.6368   0.5327   0.896 
501    Q96    0.5793   AAA      Q9s    0.5742   0.5396   0.965 
502    QT6    0.5793   AAA      QTs    0.5926   0.5396   0.947 
503    AT2    0.5792   _AA      ATo    0.6039   0.5222   0.918 
504    AQT    0.5792   _AA      AQo    0.6171   0.6039   0.987 
505    K44    0.5789   ___      K4o    0.5124   0.5124   1.000 
506    JT7    0.5789   AAA      JTs    0.5819   0.5308   0.949 
507    AK7    0.5788   A_A      AKo    0.6233   0.5903   0.967 
508    Q54    0.5782   AAA      Q5s    0.5308   0.5156   0.985 
509    875    0.5780   AAA      87s    0.5033   0.4752   0.972 
510    AJ3    0.5780   _AA      AJo    0.6088   0.5327   0.924 
511    865    0.5780   AAA      86s    0.4926   0.4752   0.983 
512    K33    0.5778   ___      K3o    0.4913   0.4913   1.000 
513    QT7    0.5778   AAA      QTs    0.5926   0.5408   0.948 
514    775    0.5773   ___      77     0.6112   0.4299   0.819 
515    772    0.5772   ___      77     0.6112   0.3620   0.751 
516    AQ5    0.5771   A_A      AQo    0.6171   0.5858   0.969 
517    JT2    0.5767   AAA      JTs    0.5819   0.4771   0.895 
518    Q53    0.5766   AAA      Q5s    0.5308   0.5097   0.979 
519    Q52    0.5766   AAA      Q5s    0.5308   0.5007   0.970 
520    552    0.5766   A_A      55     0.5439   0.4199   0.876 
521    877    0.5764   AA_      77     0.6112   0.5033   0.892 
522    AKJ    0.5762   AA_      AKs    0.6426   0.6088   0.966 
523    AJ4    0.5762   A_A      AJo    0.6088   0.5739   0.965 
524    877    0.5762   A_A      77     0.6112   0.5033   0.892 
525    QT5    0.5761   AAA      QTs    0.5926   0.5308   0.938 
526    AK8    0.5760   A_A      AKo    0.6233   0.6006   0.977 
527    J97    0.5759   AAA      J9s    0.5618   0.5308   0.969 
528    986    0.5758   AAA      98s    0.5284   0.4943   0.966 
529    Q76    0.5755   AAA      Q7s    0.5408   0.5396   0.999 
530    J87    0.5755   AAA      J8s    0.5496   0.5308   0.981 
531    T88    0.5753   A_A      88     0.6355   0.5412   0.906 
532    J88    0.5752   AA_      88     0.6355   0.5496   0.914 
533    Q88    0.5752   AA_      88     0.6355   0.5551   0.920 
534    Q99    0.5752   ___      99     0.6697   0.5421   0.872 
535    Q64    0.5747   AAA      Q6s    0.5396   0.5156   0.976 
536    Q22    0.5747   ___      Q2o    0.4590   0.4590   1.000 
537    A88    0.5747   A_A      88     0.6355   0.6006   0.965 
538    Q97    0.5746   AAA      Q9s    0.5742   0.5408   0.967 
539    AKT    0.5746   AA_      AKs    0.6426   0.6039   0.961 
540    665    0.5745   ___      66     0.5788   0.4358   0.857 
541    976    0.5744   AAA      97s    0.5138   0.4943   0.980 
542    AT3    0.5743   A_A      ATo    0.6039   0.5665   0.963 
543    Q95    0.5743   AAA      Q9s    0.5742   0.5308   0.957 
544    Q94    0.5742   AAA      Q9s    0.5742   0.5156   0.941 
545    J88    0.5740   A_A      88     0.6355   0.5496   0.914 
546    AQ4    0.5739   AA_      AQs    0.6368   0.5422   0.905 
547    AK5    0.5736   AA_      AKs    0.6426   0.5586   0.916 
548    Q63    0.5735   AAA      Q6s    0.5396   0.5097   0.970 
549    AKQ    0.5734   A_A      AQs    0.6368   0.6233   0.986 
550    Q87    0.5734   AAA      Q8s    0.5551   0.5408   0.986 
551    K99    0.5733   ___      99     0.6697   0.5575   0.888 
552    JT3    0.5731   AAA      JTs    0.5819   0.4884   0.907 
553    AK7    0.5731   _AA      AKo    0.6233   0.5678   0.944 
554    AK3    0.5730   ___      AKo    0.6233   0.5327   0.909 
555    K88    0.5726   A_A      88     0.6355   0.5696   0.934 
556    Q84    0.5725   AAA      Q8s    0.5551   0.5156   0.961 
557    A88    0.5719   AA_      88     0.6355   0.6006   0.965 
558    AQ5    0.5718   _AA      AQo    0.6171   0.5586   0.941 
559    Q86    0.5718   AAA      Q8s    0.5551   0.5396   0.985 
560    Q85    0.5717   AAA      Q8s    0.5551   0.5308   0.976 
561    AQ2    0.5716   ___      AQo    0.6171   0.5222   0.905 
562    AK8    0.5713   _AA      AKo    0.6233   0.5783   0.955 
563    K88    0.5706   AA_      88     0.6355   0.5696   0.934 
564    664    0.5704   ___      66     0.5788   0.4119   0.833 
565    532    0.5704   AAA      53s    0.4414   0.4199   0.979 
566    Q88    0.5702   A_A      88     0.6355   0.5551   0.920 
567    AQJ    0.5702   AA_      AQs    0.6368   0.6088   0.972 
568    A99    0.5701   ___      99     0.6697   0.5809   0.911 
569    663    0.5699   ___      66     0.5788   0.3911   0.812 
570    Q75    0.5694   AAA      Q7s    0.5408   0.5308   0.990 
571    Q42    0.5693   AAA      Q4s    0.5156   0.5007   0.985 
572    AJ4    0.5693   _AA      AJo    0.6088   0.5422   0.933 
573    AJT    0.5691   _AA      AJo    0.6088   0.6039   0.995 
574    Q43    0.5689   AAA      Q4s    0.5156   0.5097   0.994 
575    AK9    0.5684   A_A      AKo    0.6233   0.6078   0.984 
576    A92    0.5682   A_A      A9o    0.5809   0.5575   0.977 
577    Q83    0.5682   AAA      Q8s    0.5551   0.5097   0.955 
578    AT2    0.5676   AA_      ATs    0.6235   0.5222   0.899 
579    AJ3    0.5676   AA_      AJs    0.6301   0.5327   0.903 
580    988    0.5665   ___      88     0.6355   0.4953   0.860 
581    AQ6    0.5661   A_A      AQo    0.6171   0.5845   0.967 
582    AJ5    0.5660   A_A      AJo    0.6088   0.5858   0.977 
583    AK4    0.5659   ___      AKo    0.6233   0.5422   0.919 
584    652    0.5656   AAA      65s    0.4731   0.4199   0.947 
585    Q72    0.5652   AAA      Q7s    0.5408   0.5007   0.960 
586    662    0.5651   ___      66     0.5788   0.3646   0.786 
587    Q74    0.5650   AAA      Q7s    0.5408   0.5156   0.975 
588    AQT    0.5650   AA_      AQs    0.6368   0.6039   0.967 
589    AQ8    0.5644   A_A      AQo    0.6171   0.6006   0.984 
590    Q32    0.5644   AAA      Q3s    0.5097   0.5007   0.991 
591    AT3    0.5643   _AA      ATo    0.6039   0.5327   0.929 
592    JT4    0.5642   AAA      JTs    0.5819   0.5029   0.921 
593    432    0.5640   AAA      43s    0.4316   0.4090   0.977 
594    JT5    0.5637   AAA      JTs    0.5819   0.5085   0.927 
595    AT4    0.5637   A_A      ATo    0.6039   0.5739   0.970 
596    AJ5    0.5636   _AA      AJo    0.6088   0.5586   0.950 
597    J92    0.5635   AAA      J9s    0.5618   0.4771   0.915 
598    A54    0.5634   _AA      A5o    0.5586   0.5422   0.984 
599    A53    0.5631   _AA      A5o    0.5586   0.5327   0.974 
600    A52    0.5630   AA_      A5s    0.5858   0.5222   0.936 
601    AK9    0.5629   _AA      AKo    0.6233   0.5881   0.965 
602    A53    0.5628   AA_      A5s    0.5858   0.5327   0.947 
603    Q73    0.5627   AAA      Q7s    0.5408   0.5097   0.969 
604    977    0.5626   A_A      77     0.6112   0.5138   0.903 
605    443    0.5625   _AA      44     0.5079   0.4316   0.924 
606    AQ7    0.5624   A_A      AQo    0.6171   0.5903   0.973 
607    A54    0.5624   AA_      A5s    0.5858   0.5422   0.956 
608    A82    0.5623   A_A      A8o    0.5783   0.5575   0.979 
609    AK6    0.5616   AA_      AKs    0.6426   0.5512   0.909 
610    A52    0.5610   _AA      A5o    0.5586   0.5222   0.964 
611    763    0.5607   AAA      76s    0.4918   0.4330   0.941 
612    AJT    0.5605   AA_      AJs    0.6301   0.6039   0.974 
613    AQ5    0.5603   AA_      AQs    0.6368   0.5586   0.922 
614    AQ9    0.5602   A_A      AQo    0.6171   0.6078   0.991 
615    443    0.5601   A_A      44     0.5079   0.4316   0.924 
616    554    0.5600   ___      55     0.5439   0.4194   0.876 
617    553    0.5600   ___      55     0.5439   0.3956   0.852 
618    AQ8    0.5599   _AA      AQo    0.6171   0.5783   0.961 
619    J93    0.5596   AAA      J9s    0.5618   0.4884   0.927 
620    753    0.5596   AAA      75s    0.4728   0.4414   0.969 
621    T76    0.5595   AAA      T7s    0.5194   0.5103   0.991 
622    AKQ    0.5594   ___      AKo    0.6233   0.6171   0.994 
623    AQ6    0.5594   _AA      AQo    0.6171   0.5512   0.934 
624    J54    0.5593   AAA      J5s    0.5085   0.5029   0.994 
625    442    0.5591   _AA      44     0.5079   0.4090   0.901 
626    766    0.5590   A_A      66     0.5788   0.4918   0.913 
627    T86    0.5590   AAA      T8s    0.5412   0.5103   0.969 
628    T96    0.5589   AAA      T9s    0.5552   0.5103   0.955 
629    766    0.5588   AA_      66     0.5788   0.4918   0.913 
630    A42    0.5587   AA_      A4s    0.5739   0.5222   0.948 
631    977    0.5586   AA_      77     0.6112   0.5138   0.903 
632    AT3    0.5583   AA_      ATs    0.6235   0.5327   0.909 
633    AKJ    0.5580   ___      AKo    0.6233   0.6088   0.985 
634    AJ9    0.5579   A_A      AJo    0.6088   0.6078   0.999 
635    AK7    0.5577   AA_      AKs    0.6426   0.5636   0.921 
636    J82    0.5571   AAA      J8s    0.5496   0.4771   0.928 
637    AQ3    0.5570   ___      AQo    0.6171   0.5327   0.916 
638    AJ2    0.5569   ___      AJo    0.6088   0.5222   0.913 
639    552    0.5569   ___      55     0.5439   0.3752   0.831 
640    AQ7    0.5565   _AA      AQo    0.6171   0.5636   0.946 
641    442    0.5564   A_A      44     0.5079   0.4090   0.901 
642    AJ7    0.5564   A_A      AJo    0.6088   0.5903   0.982 
643    AT8    0.5564   A_A      ATo    0.6039   0.6006   0.997 
644    AKJ    0.5563   A_A      AJs    0.6301   0.6233   0.993 
645    965    0.5563   AAA      96s    0.4943   0.4799   0.986 
646    KQ2    0.5561   A_A      KQo    0.5914   0.5229   0.931 
647    AJ8    0.5561   A_A      AJo    0.6088   0.6006   0.992 
648    AQ9    0.5560   _AA      AQo    0.6171   0.5809   0.964 
649    AJ4    0.5555   AA_      AJs    0.6301   0.5422   0.912 
650    J95    0.5554   AAA      J9s    0.5618   0.5085   0.947 
651    J53    0.5554   AAA      J5s    0.5085   0.4884   0.980 
652    A92    0.5553   _AA      A9o    0.5809   0.5222   0.941 
653    JT6    0.5551   AAA      JTs    0.5819   0.5103   0.928 
654    A43    0.5549   AA_      A4s    0.5739   0.5327   0.959 
655    J65    0.5548   AAA      J6s    0.5090   0.5085   1.000 
656    KQ2    0.5547   _AA      KQo    0.5914   0.5007   0.909 
657    AT7    0.5545   A_A      ATo    0.6039   0.5903   0.986 
658    A93    0.5540   A_A      A9o    0.5809   0.5665   0.986 
659    864    0.5539   AAA      86s    0.4926   0.4555   0.963 
660    642    0.5538   AAA      64s    0.4477   0.4106   0.963 
661    AT5    0.5538   A_A      ATo    0.6039   0.5858   0.982 
662    985    0.5536   AAA      98s    0.5284   0.4799   0.952 
663    A42    0.5536   _AA      A4o    0.5422   0.5222   0.980 
664    J84    0.5535   AAA      J8s    0.5496   0.5029   0.953 
665    877    0.5534   ___      77     0.6112   0.4700   0.859 
666    AJ8    0.5532   _AA      AJo    0.6088   0.5783   0.970 
667    874    0.5531   AAA      87s    0.5033   0.4555   0.952 
668    A43    0.5530   _AA      A4o    0.5422   0.5327   0.990 
669    AK8    0.5529   AA_      AKs    0.6426   0.5783   0.936 
670    J63    0.5526   AAA      J6s    0.5090   0.4884   0.979 
671    J64    0.5523   AAA      J6s    0.5090   0.5029   0.994 
672    A92    0.5521   AA_      A9s    0.6078   0.5222   0.914 
673    AT4    0.5521   _AA      ATo    0.6039   0.5422   0.938 
674    J75    0.5520   AAA      J7s    0.5308   0.5085   0.978 
675    J83    0.5519   AAA      J8s    0.5496   0.4884   0.939 
676    KJT    0.5518   _AA      KJo    0.5857   0.5819   0.996 
677    975    0.5517   AAA      97s    0.5138   0.4799   0.966 
678    AQJ    0.5516   A_A      AJs    0.6301   0.6171   0.987 
679    J52    0.5513   AAA      J5s    0.5085   0.4771   0.969 
680    J76    0.5512   AAA      J7s    0.5308   0.5090   0.978 
681    866    0.5509   AA_      66     0.5788   0.4926   0.914 
682    A72    0.5507   A_A      A7o    0.5636   0.5575   0.994 
683    T92    0.5504   AAA      T9s    0.5552   0.4638   0.909 
684    J43    0.5503   AAA      J4s    0.5029   0.4884   0.986 
685    AK5    0.5500   ___      AKo    0.6233   0.5586   0.935 
686    J94    0.5496   AAA      J9s    0.5618   0.5029   0.941 
687    J96    0.5494   AAA      J9s    0.5618   0.5090   0.947 
688    J85    0.5492   AAA      J8s    0.5496   0.5085   0.959 
689    854    0.5491   AAA      85s    0.4752   0.4604   0.985 
690    J86    0.5491   AAA      J8s    0.5496   0.5090   0.959 
691    AQ6    0.5489   AA_      AQs    0.6368   0.5512   0.914 
692    A84    0.5489   A_A      A8o    0.5783   0.5739   0.996 
693    AQ4    0.5488   ___      AQo    0.6171   0.5422   0.925 
694    AJ6    0.5486   A_A      AJo    0.6088   0.5845   0.976 
695    AT8    0.5486   _AA      ATo    0.6039   0.5783   0.974 
696    T88    0.5486   ___      88     0.6355   0.5084   0.873 
697    KQJ    0.5484   AA_      KQs    0.6151   0.5857   0.971 
698    AT6    0.5484   A_A      ATo    0.6039   0.5845   0.981 
699    A77    0.5480   AA_      77     0.6112   0.5903   0.979 
700    AKT    0.5480   A_A      ATs    0.6235   0.6233   1.000 
701    AKT    0.5479   ___      AKo    0.6233   0.6039   0.981 
702    T93    0.5476   AAA      T9s    0.5552   0.4735   0.918 
703    AQJ    0.5476   ___      AQo    0.6171   0.6088   0.992 
704    K77    0.5473   AA_      77     0.6112   0.5678   0.957 
705    K77    0.5472   A_A      77     0.6112   0.5678   0.957 
706    J42    0.5472   AAA      J4s    0.5029   0.4771   0.974 
707    A83    0.5470   A_A      A8o    0.5783   0.5665   0.988 
708    J74    0.5470   AAA      J7s    0.5308   0.5029   0.972 
709    AQ8    0.5469   AA_      AQs    0.6368   0.5783   0.941 
710    866    0.5467   A_A      66     0.5788   0.4926   0.914 
711    AJ5    0.5465   AA_      AJs    0.6301   0.5586   0.929 
712    J73    0.5464   AAA      J7s    0.5308   0.4884   0.958 
713    KQT    0.5462   AA_      KQs    0.6151   0.5808   0.966 
714    A82    0.5462   _AA      A8o    0.5783   0.5222   0.944 
715    AJT    0.5458   A_A      ATs    0.6235   0.6088   0.985 
716    A32    0.5456   AA_      A3s    0.5665   0.5222   0.956 
717    AT4    0.5455   AA_      ATs    0.6235   0.5422   0.919 
718    AQ7    0.5454   AA_      AQs    0.6368   0.5636   0.927 
719    AJ9    0.5454   _AA      AJo    0.6088   0.5809   0.972 
720    T77    0.5454   AA_      77     0.6112   0.5194   0.908 
721    AJ7    0.5452   _AA      AJo    0.6088   0.5636   0.955 
722    J32    0.5450   AAA      J3s    0.4884   0.4771   0.989 
723    J72    0.5449   AAA      J7s    0.5308   0.4771   0.946 
724    A93    0.5449   _AA      A9o    0.5809   0.5327   0.952 
725    A82    0.5448   AA_      A8s    0.6006   0.5222   0.922 
726    KJT    0.5447   AA_      KJs    0.6104   0.5808   0.970 
727    KQ3    0.5447   A_A      KQo    0.5914   0.5340   0.943 
728    J88    0.5445   ___      88     0.6355   0.5176   0.882 
729    T64    0.5443   AAA      T6s    0.5103   0.4866   0.976 
730    AT5    0.5443   _AA      ATo    0.6039   0.5586   0.955 
731    A94    0.5441   A_A      A9o    0.5809   0.5739   0.993 
732    A32    0.5441   _AA      A3o    0.5327   0.5222   0.989 
733    AT9    0.5441   _AA      ATo    0.6039   0.5809   0.977 
734    AQT    0.5440   A_A      ATs    0.6235   0.6171   0.994 
735    A88    0.5439   ___      88     0.6355   0.5783   0.943 
736    T94    0.5439   AAA      T9s    0.5552   0.4866   0.931 
737    KQ3    0.5438   _AA      KQo    0.5914   0.5097   0.918 
738    AT2    0.5437   ___      ATo    0.6039   0.5222   0.918 
739    AK9    0.5434   AA_      AKs    0.6426   0.5809   0.938 
740    AJ6    0.5433   _AA      AJo    0.6088   0.5512   0.942 
741    655    0.5432   AA_      55     0.5439   0.4731   0.929 
742    T82    0.5428   AAA      T8s    0.5412   0.4638   0.923 
743    AQT    0.5427   ___      AQo    0.6171   0.6039   0.987 
744    443    0.5427   ___      44     0.5079   0.3843   0.876 
745    A93    0.5427   AA_      A9s    0.6078   0.5327   0.925 
746    KQ2    0.5426   AA_      KQs    0.6151   0.4822   0.867 
747    J62    0.5425   AAA      J6s    0.5090   0.4771   0.968 
748    A53    0.5424   ___      A5o    0.5586   0.5327   0.974 
749    KJ2    0.5423   A_A      KJo    0.5857   0.5229   0.937 
750    T77    0.5422   A_A      77     0.6112   0.5194   0.908 
751    Q77    0.5422   AA_      77     0.6112   0.5408   0.930 
752    AJ3    0.5418   ___      AJo    0.6088   0.5327   0.924 
753    AT7    0.5418   _AA      ATo    0.6039   0.5636   0.960 
754    743    0.5417   AAA      74s    0.4506   0.4316   0.981 
755    A77    0.5417   A_A      77     0.6112   0.5903   0.979 
756    T65    0.5416   AAA      T6s    0.5103   0.4918   0.981 
757    AK6    0.5414   ___      AKo    0.6233   0.5512   0.928 
758    A54    0.5413   ___      A5o    0.5586   0.5422   0.984 
759    AT6    0.5413   _AA      ATo    0.6039   0.5512   0.947 
760    AQ9    0.5412   AA_      AQs    0.6368   0.5809   0.944 
761    Q88    0.5409   ___      88     0.6355   0.5299   0.894 
762    655    0.5408   A_A      55     0.5439   0.4731   0.929 
763    T84    0.5407   AAA      T8s    0.5412   0.4866   0.945 
764    A72    0.5402   _AA      A7o    0.5636   0.5222   0.959 
765    K88    0.5401   ___      88     0.6355   0.5397   0.904 
766    766    0.5397   ___      66     0.5788   0.4509   0.872 
767    AK7    0.5396   ___      AKo    0.6233   0.5636   0.940 
768    632    0.5395   AAA      63s    0.4330   0.4106   0.978 
769    T63    0.5392   AAA      T6s    0.5103   0.4735   0.963 
770    T95    0.5391   AAA      T9s    0.5552   0.4918   0.937 
771    A54    0.5391   A_A      A4s    0.5739   0.5586   0.985 
772    Q77    0.5391   A_A      77     0.6112   0.5408   0.930 
773    J77    0.5388   AA_      77     0.6112   0.5308   0.920 
774    T62    0.5388   AAA      T6s    0.5103   0.4638   0.954 
775    KQJ    0.5388   A_A      KJs    0.6104   0.5914   0.981 
776    KQ4    0.5388   A_A      KQo    0.5914   0.5401   0.949 
777    T74    0.5385   AAA      T7s    0.5194   0.4866   0.967 
778    J77    0.5385   A_A      77     0.6112   0.5308   0.920 
779    AQ5    0.5384   ___      AQo    0.6171   0.5586   0.941 
780    A72    0.5383   AA_      A7s    0.5903   0.5222   0.932 
781    332    0.5380   A_A      33     0.4768   0.3948   0.918 
782    A52    0.5380   ___      A5o    0.5586   0.5222   0.964 
783    A62    0.5379   AA_      A6s    0.5845   0.5222   0.938 
784    AJ7    0.5379   AA_      AJs    0.6301   0.5636   0.934 
785    A94    0.5378   _AA      A9o    0.5809   0.5422   0.961 
786    442    0.5377   ___      44     0.5079   0.3602   0.852 
787    332    0.5377   _AA      33     0.4768   0.3948   0.918 
788    KJ2    0.5376   _AA      KJo    0.5857   0.4822   0.897 
789    AT5    0.5375   AA_      ATs    0.6235   0.5586   0.935 
790    T54    0.5373   AAA      T5s    0.4918   0.4866   0.995 
791    982    0.5373   AAA      98s    0.5284   0.4428   0.914 
792    T73    0.5372   AAA      T7s    0.5194   0.4735   0.954 
793    A85    0.5371   _AA      A8o    0.5783   0.5586   0.980 
794    AJT    0.5368   ___      AJo    0.6088   0.6039   0.995 
795    A73    0.5366   _AA      A7o    0.5636   0.5327   0.969 
796    AT8    0.5366   AA_      ATs    0.6235   0.5783   0.955 
797    AJ4    0.5366   ___      AJo    0.6088   0.5422   0.933 
798    T75    0.5364   AAA      T7s    0.5194   0.4918   0.972 
799    AJ8    0.5364   AA_      AJs    0.6301   0.5783   0.948 
800    977    0.5363   ___      77     0.6112   0.4807   0.870 
801    A95    0.5363   _AA      A9o    0.5809   0.5586   0.978 
802    A84    0.5359   _AA      A8o    0.5783   0.5422   0.964 
803    AJ9    0.5359   AA_      AJs    0.6301   0.5809   0.951 
804    QJT    0.5357   AA_      QJs    0.5990   0.5698   0.971 
805    KQ3    0.5353   AA_      KQs    0.6151   0.4913   0.876 
806    T83    0.5351   AAA      T8s    0.5412   0.4735   0.932 
807    A98    0.5350   _AA      A9o    0.5809   0.5783   0.997 
808    A74    0.5348   AA_      A7s    0.5903   0.5422   0.952 
809    AT7    0.5347   AA_      ATs    0.6235   0.5636   0.940 
810    AT3    0.5345   ___      ATo    0.6039   0.5327   0.929 
811    963    0.5344   AAA      96s    0.4943   0.4535   0.959 
812    A83    0.5344   _AA      A8o    0.5783   0.5327   0.954 
813    KQ4    0.5344   _AA      KQo    0.5914   0.5156   0.924 
814    862    0.5343   AAA      86s    0.4926   0.4224   0.930 
815    A73    0.5342   AA_      A7s    0.5903   0.5327   0.942 
816    966    0.5342   A_A      66     0.5788   0.4943   0.915 
817    A83    0.5339   AA_      A8s    0.6006   0.5327   0.932 
818    T52    0.5336   AAA      T5s    0.4918   0.4638   0.972 
819    T43    0.5336   AAA      T4s    0.4866   0.4735   0.987 
820    A85    0.5333   AA_      A8s    0.6006   0.5586   0.958 
821    A87    0.5332   _AA      A8o    0.5783   0.5636   0.985 
822    755    0.5330   AA_      55     0.5439   0.4728   0.929 
823    962    0.5330   AAA      96s    0.4943   0.4428   0.948 
824    T72    0.5330   AAA      T7s    0.5194   0.4638   0.944 
