====================================================================================================
3-CARD PREFLOP SCORES - TOSS'EM HOLD'EM
====================================================================================================

Simulations per hand: 50000

Scoring: preflop_score = pure 3-card MC equity
         (both players discard optimally in simulation)

Total hand classes: 1911

------------------------------------------------------------------------------------------
Rank   Hand   Score    Pattern  Keep   Best2c   2nd2c    Flex  
93     KK5    0.7319   ___      KK     0.7670   0.5210   0.754 
94     KK7    0.7312   ___      KK     0.7670   0.5379   0.771 
95     KK9    0.7295   ___      KK     0.7670   0.5575   0.791 
96     QQ9    0.7294   A_A      QQ     0.7452   0.5742   0.829 
97     JJ2    0.7287   A_A      JJ     0.7266   0.4771   0.751 
98     QQ6    0.7273   A_A      QQ     0.7452   0.5396   0.794 
99     QQ6    0.7269   _AA      QQ     0.7452   0.5396   0.794 
100    QQ5    0.7267   A_A      QQ     0.7452   0.5308   0.786 
101    QQ8    0.7261   _AA      QQ     0.7452   0.5551   0.810 
102    QQ7    0.7256   _AA      QQ     0.7452   0.5408   0.796 
103    JJ2    0.7254   _AA      JJ     0.7266   0.4771   0.751 
104    QQ8    0.7240   A_A      QQ     0.7452   0.5551   0.810 
105    QQ5    0.7234   _AA      QQ     0.7452   0.5308   0.786 
106    QQ3    0.7229   ___      QQ     0.7452   0.4696   0.724 
107    QQ7    0.7210   A_A      QQ     0.7452   0.5408   0.796 
108    KK8    0.7196   ___      KK     0.7670   0.5397   0.773 
109    QQJ    0.7179   ___      QQ     0.7452   0.5776   0.832 
110    JJT    0.7178   _AA      JJ     0.7266   0.5819   0.855 
111    JJT    0.7176   A_A      JJ     0.7266   0.5819   0.855 
112    JJ3    0.7153   _AA      JJ     0.7266   0.4884   0.762 
113    KQQ    0.7151   A_A      QQ     0.7452   0.6151   0.870 
114    QQ4    0.7139   ___      QQ     0.7452   0.4858   0.741 
115    KQQ    0.7122   AA_      QQ     0.7452   0.6151   0.870 
116    JJ9    0.7119   _AA      JJ     0.7266   0.5618   0.835 
117    JJ3    0.7097   A_A      JJ     0.7266   0.4884   0.762 
118    JJ9    0.7093   A_A      JJ     0.7266   0.5618   0.835 
119    QQT    0.7079   ___      QQ     0.7452   0.5698   0.825 
120    AK2    0.7069   AAA      AKs    0.6426   0.5575   0.915 
121    QQ9    0.7060   ___      QQ     0.7452   0.5421   0.797 
122    AKK    0.7053   ___      KK     0.7670   0.6233   0.856 
123    JJ8    0.7041   _AA      JJ     0.7266   0.5496   0.823 
124    AQQ    0.7035   AA_      QQ     0.7452   0.6368   0.892 
125    AQQ    0.7034   A_A      QQ     0.7452   0.6368   0.892 
126    JJ4    0.7031   _AA      JJ     0.7266   0.5029   0.776 
127    JJ8    0.7014   A_A      JJ     0.7266   0.5496   0.823 
128    JJ4    0.6999   A_A      JJ     0.7266   0.5029   0.776 
129    QQ6    0.6985   ___      QQ     0.7452   0.5055   0.760 
130    JJ2    0.6985   ___      JJ     0.7266   0.4345   0.708 
131    AK3    0.6976   AAA      AKs    0.6426   0.5665   0.924 
132    JJ7    0.6974   _AA      JJ     0.7266   0.5308   0.804 
133    JJ7    0.6963   A_A      JJ     0.7266   0.5308   0.804 
134    QQ5    0.6955   ___      QQ     0.7452   0.4941   0.749 
135    AQ2    0.6949   AAA      AQs    0.6368   0.5575   0.921 
136    QQ8    0.6939   ___      QQ     0.7452   0.5299   0.785 
137    JJ5    0.6930   A_A      JJ     0.7266   0.5085   0.782 
138    JJ5    0.6930   _AA      JJ     0.7266   0.5085   0.782 
139    TT2    0.6915   A_A      TT     0.6987   0.4638   0.765 
140    TT9    0.6910   _AA      TT     0.6987   0.5552   0.857 
141    JJ6    0.6900   A_A      JJ     0.7266   0.5090   0.782 
142    JJ6    0.6898   _AA      JJ     0.7266   0.5090   0.782 
143    TT2    0.6897   _AA      TT     0.6987   0.4638   0.765 
144    QQ7    0.6884   ___      QQ     0.7452   0.5127   0.767 
145    AKQ    0.6875   AAA      AKs    0.6426   0.6368   0.994 
146    AK4    0.6873   AAA      AKs    0.6426   0.5739   0.931 
147    JJ3    0.6868   ___      JJ     0.7266   0.4461   0.719 
148    JJT    0.6865   ___      JJ     0.7266   0.5579   0.831 
149    TT9    0.6854   A_A      TT     0.6987   0.5552   0.857 
150    AKJ    0.6854   AAA      AKs    0.6426   0.6301   0.988 
151    TT3    0.6839   _AA      TT     0.6987   0.4735   0.775 
152    JJ9    0.6836   ___      JJ     0.7266   0.5351   0.809 
153    AJ2    0.6823   AAA      AJs    0.6301   0.5575   0.927 
154    TT8    0.6823   _AA      TT     0.6987   0.5412   0.842 
155    TT8    0.6816   A_A      TT     0.6987   0.5412   0.842 
156    QJJ    0.6816   A_A      JJ     0.7266   0.5990   0.872 
157    AQ3    0.6815   AAA      AQs    0.6368   0.5665   0.930 
158    TT3    0.6813   A_A      TT     0.6987   0.4735   0.775 
159    KJJ    0.6812   A_A      JJ     0.7266   0.6104   0.884 
160    AKT    0.6799   AAA      AKs    0.6426   0.6235   0.981 
161    KJJ    0.6798   AA_      JJ     0.7266   0.6104   0.884 
162    QJJ    0.6793   AA_      JJ     0.7266   0.5990   0.872 
163    AK5    0.6792   AAA      AKs    0.6426   0.5858   0.943 
164    JJ4    0.6774   ___      JJ     0.7266   0.4617   0.735 
165    KQQ    0.6771   ___      QQ     0.7452   0.5914   0.846 
166    AK6    0.6764   AAA      AKs    0.6426   0.5845   0.942 
167    JJ8    0.6764   ___      JJ     0.7266   0.5176   0.791 
168    AQJ    0.6764   AAA      AQs    0.6368   0.6301   0.993 
169    TT7    0.6748   _AA      TT     0.6987   0.5194   0.821 
170    AJJ    0.6745   A_A      JJ     0.7266   0.6301   0.903 
171    TT7    0.6737   A_A      TT     0.6987   0.5194   0.821 
172    AQ4    0.6737   AAA      AQs    0.6368   0.5739   0.937 
173    AJ3    0.6735   AAA      AJs    0.6301   0.5665   0.936 
174    AJJ    0.6735   AA_      JJ     0.7266   0.6301   0.903 
175    TT4    0.6717   A_A      TT     0.6987   0.4866   0.788 
176    AQT    0.6710   AAA      AQs    0.6368   0.6235   0.987 
177    AJT    0.6706   AAA      AJs    0.6301   0.6235   0.993 
178    AT2    0.6703   AAA      ATs    0.6235   0.5575   0.934 
179    JJ7    0.6692   ___      JJ     0.7266   0.4986   0.772 
180    AQQ    0.6689   ___      QQ     0.7452   0.6171   0.872 
181    TT4    0.6684   _AA      TT     0.6987   0.4866   0.788 
